Feature,Importance
Age,0.40001990475457716
NumOfProducts,0.2575847357560409
Balance,0.06516238397914643
EngagementProduct,0.06042687678126518
Geography_Germany,0.05327091104674354
IsActiveMember,0.04279592630078267
CreditPerAge,0.02515578559202353
BalanceSalaryRatio,0.02064196878356878
Gender_Male,0.02008574793795888
EstimatedSalary,0.01717449519607772
CreditScore,0.00991550358193611
TenureByAge,0.009238281572488266
AgeTenureInteraction,0.007443947050767608
ZeroBalance,0.006422535389560184
ProductDensity,0.0038113866864678747
HasCrCard,0.0006066000394548494
Tenure,0.00024062666583167446
Geography_Spain,2.3828853084119898e-06
